form_id,timestamp,type,number,block_name,link,sender
17,2024-11-03 15:25,seminar,3,Частина 3,https://forms.gle/auPgK8gc553NsJTq8,Корнієнко Сергій
18,2024-11-03 15:25,seminar,3,Частина 3,https://forms.gle/2RAzi6AJQvbJTVwu8,Корнієнко Сергій
19,2024-11-03 16:01,modular_control,1,,https://forms.gle/TshYYg3K2UYTPKCQ9,Корнієнко Сергій
20,2024-11-10 13:32,other,,5,https://forms.gle/iq4T6frdKiioRWq9A,Корнієнко Сергій
21,2024-11-10 13:32,other,,5,https://forms.gle/uXhZrLQLDYAS4Foa6,Корнієнко Сергій
22,2024-11-10 13:32,other,,5,https://forms.gle/imfjkKPGV1WS7G7E8,Корнієнко Сергій
23,2024-11-10 13:32,other,,5,https://forms.gle/HdZLypkJeEtZwzEw9,Корнієнко Сергій
24,2024-11-10 13:32,other,,5,https://forms.gle/WWrg8kqM8NkhKKed8,Корнієнко Сергій
25,2024-11-10 14:16,other,,,https://forms.gle/aeofnSZ6whuUUroD6,Корнієнко Сергій
26,2024-11-10 15:05,seminar,5,5 (повтор),https://forms.gle/UaQfxK58tWFhpLUu7,Корнієнко Сергій
27,2024-11-10 15:05,seminar,5,5 (повтор),https://forms.gle/V3qo1jsRUJkb1yg86,Корнієнко Сергій
28,2024-11-10 15:05,seminar,5,5 (повтор),https://forms.gle/s5zeVGQaqnDF3Wc96,Корнієнко Сергій
29,2024-11-10 15:05,seminar,5,5 (повтор),https://forms.gle/3cH45HLg22WdA1HN7,Корнієнко Сергій
30,2024-11-10 15:05,seminar,5,5 (повтор),https://forms.gle/ko9jNChxKck4vxf7A,Корнієнко Сергій
31,2024-11-17 13:45,other,,,https://forms.gle/ZubbWxasvxFADLhh6,Корнієнко Сергій
32,2024-11-17 15:04,seminar,6,5,https://forms.gle/tHzs9aDN2Vurtp2a9,Корнієнко Сергій
33,2024-11-17 15:04,seminar,6,5,https://forms.gle/WoTELZjHa25Adpcq7,Корнієнко Сергій
34,2024-11-17 15:04,seminar,6,5,https://forms.gle/Afz7NWR34P1XJabX7,Корнієнко Сергій
35,2024-11-17 15:04,seminar,6,5,https://forms.gle/CjMH8hBHBdP6L4iX6,Корнієнко Сергій
36,2024-11-17 15:04,seminar,6,5,https://forms.gle/ZyFQ1J2RuDNQV16W7,Корнієнко Сергій
37,2024-11-17 15:19,seminar,6,,https://forms.gle/b1mP5dHQTqbiY5Lq6,Корнієнко Сергій
38,2024-11-24 12:10,lecture_quiz,8,1,https://forms.gle/HCkQ8KYXz79t3gzW7,Корнієнко Сергій
39,2024-11-24 12:40,seminar,8,2 % семінар 8 %,https://forms.gle/XLApDXnNj5fRMdVJ8,Корнієнко Сергій
40,2024-11-24 13:05,seminar,8,3 % семінар 8 %,https://forms.gle/QbFDcBCjK3e5uKgT6,Корнієнко Сергій
41,2024-11-24 13:05,seminar,8,3 % семінар 8 %,https://forms.gle/phR49SMYHL7gkQir9,Корнієнко Сергій
42,2024-11-24 13:05,seminar,8,3 % семінар 8 %,https://forms.gle/P5GH9eGKqHXGAQzf8,Корнієнко Сергій
43,2024-11-24 13:43,seminar,9,,https://forms.gle/ErmqF1sygDvAtQzU8,Корнієнко Сергій
44,2024-11-24 13:45,seminar,9,2 % семінар 9 %,https://forms.gle/cBt8QWpcRN6ABnZo8,Корнієнко Сергій
45,2024-11-24 13:45,seminar,9,2 % семінар 9 %,https://forms.gle/XEfb5y7v9GrJys6F7,Корнієнко Сергій
46,2024-11-24 13:45,seminar,9,2 % семінар 9 %,https://forms.gle/2JWB8uj7sYvLviTJ8,Корнієнко Сергій
47,2024-11-24 13:45,seminar,9,2 % семінар 9 %,https://forms.gle/vr4n6R9CKqGcnhQM9,Корнієнко Сергій
48,2024-11-24 15:04,seminar,7,1 % Семінар 7 %,https://forms.gle/KrsVGBAmwmmCWWiG7,Корнієнко Сергій
49,2024-11-24 15:04,seminar,7,1 % Семінар 7 %,https://forms.gle/dVdjDU5i2Fe1hRmXA,Корнієнко Сергій
50,2024-11-24 15:04,seminar,7,1 % Семінар 7 %,https://forms.gle/hFqo7YhZZhhXgtC39,Корнієнко Сергій
51,2024-11-24 15:04,seminar,7,1 % Семінар 7 %,https://forms.gle/RNVgm92oyD92DJ8b8,Корнієнко Сергій
52,2024-12-01 14:12,seminar,10,,https://forms.gle/xgxTywZFjr48riAu7,Корнієнко Сергій
